call_id,n_segments,total_chars
AMGN_2021Q3,80,53023
AMGN_2021Q4,63,47304
AMGN_2022Q1,67,58689
AMGN_2022Q2,75,59215
AMGN_2022Q3,65,46692
AMGN_2022Q4,71,59789
AMGN_2023Q1,61,62605
AMGN_2023Q2,58,61126
AMGN_2023Q3,71,69521
AMGN_2023Q4,95,67515
AMGN_2024Q1,73,22189
AMGN_2024Q2,64,55508
AMGN_2024Q3,80,57931
AMGN_2024Q4,76,54015
AMZN_2020Q1,34,33468
AMZN_2020Q2,33,34435
AMZN_2020Q3,29,31746
AMZN_2020Q4,31,36816
AMZN_2021Q1,33,31233
AMZN_2021Q2,31,34448
AMZN_2021Q3,33,39263
AMZN_2021Q4,39,36508
AMZN_2022Q1,29,32508
AMZN_2022Q2,34,34415
AMZN_2022Q3,28,29830
AMZN_2022Q4,28,41347
AMZN_2023Q1,23,42953
AMZN_2023Q2,26,42181
AMZN_2023Q3,23,49979
AMZN_2023Q4,27,52004
AMZN_2024Q1,27,10367
AMZN_2024Q2,26,46367
AMZN_2024Q3,26,45820
AMZN_2024Q4,24,47457
AON_2020Q1,74,59730
AON_2020Q2,63,51269
AON_2020Q3,53,47215
AON_2020Q4,54,48055
AON_2021Q1,61,42784
AON_2021Q2,70,52098
AON_2021Q3,50,44787
AON_2021Q4,48,41121
AON_2022Q1,32,32937
AON_2022Q2,56,44641
AON_2022Q3,54,44739
AON_2022Q4,78,54865
AON_2023Q1,92,49679
AON_2023Q2,72,56459
AON_2023Q3,69,48637
AON_2023Q4,74,58091
AON_2024Q1,49,17914
AON_2024Q2,80,62636
AON_2024Q3,74,60665
AON_2024Q4,59,58033
AVGO_2020Q1,47,34557
AVGO_2020Q2,36,29805
AVGO_2020Q3,41,30291
AVGO_2020Q4,33,40134
AVGO_2021Q1,40,33517
AVGO_2021Q2,48,34474
AVGO_2021Q3,51,33729
AVGO_2021Q4,55,42965
AVGO_2022Q1,56,39956
AVGO_2022Q2,29,45472
AVGO_2022Q3,43,35442
AVGO_2022Q4,62,37984
AVGO_2023Q1,79,38195
AVGO_2023Q2,55,37685
AVGO_2023Q3,53,38436
AVGO_2023Q4,58,38142
AVGO_2024Q1,66,39419
AVGO_2024Q2,68,39982
AVGO_2024Q3,70,39743
